ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs
155,Red-winged Tinamou,Rhynchotus rufescens,Rhynchotus rufescens,Tinamiformes,Tinamidae,Rhynchotus,rufescens,810,NA,0,1000,NA,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grassland,NA,NA,NA,NA
159,Huayco Tinamou,Rhynchotus maculicollis,Rhynchotus maculicollis,Tinamiformes,Tinamidae,Rhynchotus,maculicollis,900.83333333333337,NA,1000,3050,3300,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrub,NA,NA,NA,NA
161,Taczanowski's Tinamou,Nothoprocta taczanowskii,Nothoprocta taczanowskii,Tinamiformes,Tinamidae,Nothoprocta,taczanowskii,547,NA,2700,4000,NA,NA,NA,1,2,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,Woodland,NA,NA,NA,NA
162,Ornate Tinamou,Nothoprocta ornata,Nothoprocta ornata,Tinamiformes,Tinamidae,Nothoprocta,ornata,624.5,2500,3000,4600,NA,NA,NA,3,2,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,Grassland,0,0,1,1
169,Chilean Tinamou,Nothoprocta perdicaria,Nothoprocta perdicaria,Tinamiformes,Tinamidae,Nothoprocta,perdicaria,458,NA,0,2400,3000,NA,NA,NA,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,Grassland,0,0,1,1
172,Brushland Tinamou,Nothoprocta cinerascens,Nothoprocta cinerascens,Tinamiformes,Tinamidae,Nothoprocta,cinerascens,526.25,NA,0,915,1860,NA,NA,2,1,4,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,Shrub,0,0,1,1
175,Andean Tinamou,Nothoprocta pentlandii,Nothoprocta pentlandii,Tinamiformes,Tinamidae,Nothoprocta,pentlandii,316.01666666666665,NA,200,4300,NA,NA,NA,3,1,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,Shrub,0,0,0,0
185,Curve-billed Tinamou,Nothoprocta curvirostris,Nothoprocta curvirostris,Tinamiformes,Tinamidae,Nothoprocta,curvirostris,376,NA,2800,3900,NA,NA,NA,NA,2,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,Grassland,0,0,1,0
188,White-bellied Nothura,Nothura boraquira,Nothura boraquira,Tinamiformes,Tinamidae,Nothura,boraquira,288,NA,0,500,NA,NA,NA,NA,1,3,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,Shrub,0,1,0,0
189,Lesser Nothura,Nothura minor,Nothura minor,Tinamiformes,Tinamidae,Nothura,minor,163.33333333333334,NA,200,1000,NA,NA,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grassland,NA,NA,NA,NA
190,Darwin's Nothura,Nothura darwinii,Nothura darwinii,Tinamiformes,Tinamidae,Nothura,darwinii,242.25,NA,1000,4300,NA,NA,NA,NA,2,4,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Grassland,0,0,0,1
196,Spotted Nothura,Nothura maculosa,Nothura maculosa,Tinamiformes,Tinamidae,Nothura,maculosa,256,NA,0,2300,NA,NA,NA,4,3,2,1,6,NA,NA,5,NA,NA,NA,NA,NA,NA,Grassland,0,0,0,1
207,Dwarf Tinamou,Taoniscus nanus,Taoniscus nanus,Tinamiformes,Tinamidae,Taoniscus,nanus,43,NA,L,1000,NA,4,NA,NA,2,3,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,Grassland,0,0,0,1
