ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs,Beak_Length,Beak_Width,Beak_Depth,wing_length,Tail_Length,Tarsus.Length,Avonet_Mass,Avonet_HWI,BeakL_Div_Tarsus,Prop_Tail_Length,Prop_Leg_Length,Beak_Stoutness,Beak_CrossSect,HWI,Dimorphism,Colors,Final_Behavior_1,Final_Behavior_2,Final_Behavior_3
116,Grey-legged Tinamou,Crypturellus duidae,Crypturellus duidae,Tinamiformes,Tinamidae,Crypturellus,duidae,429.5,NA,L,500,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,31.2,5.4,5.6,162.9,41.5,48.9,426,27.9,0.6380368098159509,0.25475751995089013,0.30018416206261506,5.571428571428572,1.037037037037037,27.9,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
117,Red-legged Tinamou,Crypturellus erythropus,Crypturellus erythropus,Tinamiformes,Tinamidae,Crypturellus,erythropus,485,NA,0,1700,NA,2,NA,3,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrub,0,0,0,0,29,4.9,4.4,158.2,48.4,47,485,30.1,0.6170212765957447,0.3059418457648546,0.29709228824273076,6.59090909090909,0.8979591836734694,30.1,0,1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
125,Yellow-legged Tinamou,Crypturellus noctivagus,Crypturellus noctivagus,Tinamiformes,Tinamidae,Crypturellus,noctivagus,567.5,NA,0,300,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,Forest,0,0,1,1,32.9,6.1,5.3,182.2,61.8,53.9,562,24.1,0.6103896103896104,0.3391877058177827,0.29582875960482985,6.2075471698113205,0.8688524590163935,24.1,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
128,Black-capped Tinamou,Crypturellus atrocapillus,Crypturellus atrocapillus,Tinamiformes,Tinamidae,Crypturellus,atrocapillus,452.5,NA,L,900,1000,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodland,NA,NA,NA,NA,32.3,5.4,5,165.7,44.3,52.6,453,21.6,0.6140684410646388,0.26735063367531686,0.3174411587205794,6.459999999999999,0.9259259259259258,21.6,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
131,Thicket Tinamou,Crypturellus cinnamomeus,Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Crypturellus,cinnamomeus,423.75,NA,0,1800,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,27.6,5.5,5.1,160.8,45,44.3,422,23.3,0.6230248306997743,0.2798507462686567,0.2754975124378109,5.411764705882353,0.9272727272727272,23.3,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
141,Slaty-breasted Tinamou,Crypturellus boucardi,Crypturellus boucardi,Tinamiformes,Tinamidae,Crypturellus,boucardi,433.875,NA,0,1500,1800,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,28.9,5.2,4.8,165,49.2,50,435.6,25.1,0.578,0.2981818181818182,0.30303030303030304,6.020833333333333,0.923076923076923,25.1,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
144,Choco Tinamou,Crypturellus kerriae,Crypturellus kerriae,Tinamiformes,Tinamidae,Crypturellus,kerriae,NA,NA,100,1500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,31.2,5.1,4.8,154.1,54.2,49.6,443.4,21.8,0.6290322580645161,0.35171966255678133,0.32186891628812464,6.5,0.9411764705882352,21.8,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
145,Variegated Tinamou,Crypturellus variegatus,Crypturellus variegatus,Tinamiformes,Tinamidae,Crypturellus,variegatus,363,NA,100,1300,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,33.6,5.3,5,155.4,44.6,41.1,378,32.2,0.8175182481751825,0.287001287001287,0.2644787644787645,6.720000000000001,0.9433962264150944,32.2,NA,0,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
146,Rusty Tinamou,Crypturellus brevirostris,Crypturellus brevirostris,Tinamiformes,Tinamidae,Crypturellus,brevirostris,273.9,NA,0,500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,24.5,4.9,5,138.6,48.2,43.9,221,18.8,0.5580865603644647,0.3477633477633478,0.31673881673881676,4.9,1.020408163265306,18.8,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
147,Bartlett's Tinamou,Crypturellus bartletti,Crypturellus bartletti,Tinamiformes,Tinamidae,Crypturellus,bartletti,241,NA,L,500,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,25,4.7,4.7,135.6,40,40.7,241,26.7,0.6142506142506142,0.2949852507374631,0.3001474926253688,5.319148936170213,1,26.7,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
