"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color"
"American Pipit","Anthus_rubescens","Wagtails and pipits","Motacillidae","Passeriformes","F","black, brownish gray, dark gray, gray, medium yellow-buff, medium-dark yellow-buff"
"American Pygmy Kingfisher","Chloroceryle_aenea","Kingfishers","Alcedinidae","Coraciiformes","F","brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark olive, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray, very dark rufous"
"American Pygmy Kingfisher","Chloroceryle_aenea","Kingfishers","Alcedinidae","Coraciiformes","M","black, brownish gray, dark brown, dark gray, dark rufous, gray, medium yellow-buff, medium-dark olive, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale cream"
"American Redstart","Setophaga_ruticilla","New World warblers","Parulidae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark yellow-buff, pale cream, pale orange-buff"
"American Redstart","Setophaga_ruticilla","New World warblers","Parulidae","Passeriformes","M","black, brownish gray, dark gray, gray, medium cream, medium orange-buff, medium yellow-buff, medium-dark orange-buff, pale cream"
"American Robin","Turdus_migratorius","Thrushes","Turdidae","Passeriformes","F","black, brownish gray, dark gray, dark rufous, gray, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"American Swallow-tailed Kite","Elanoides_forficatus","Osprey, kites, hawks and eagles","Accipitridae","Accipitriformes","F","brownish gray, gray"
"American Swallow-tailed Kite","Elanoides_forficatus","Osprey, kites, hawks and eagles","Accipitridae","Accipitriformes","M","dark gray, gray"
"American Swallow-tailed Kite","Elanoides_forficatus","Osprey, kites, hawks and eagles","Accipitridae","Accipitriformes",NA,"brownish gray, dark gray, gray, pale cream, pale gray"
"American Tree Sparrow","Spizella_arborea","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","black, brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff, very dark rufous"
"American Treecreeper","Certhia_americana","Treecreepers","Certhiidae","Passeriformes","F","brownish gray, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray"
"American Treecreeper","Certhia_americana","Treecreepers","Certhiidae","Passeriformes","M","brownish gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray"
"American White Pelican","Pelecanus_erythrorhynchos","Pelicans","Pelecanidae","Pelecaniformes",NA,"gray"
"American Wigeon","Anas_americana","Ducks, geese and swans","Anatidae","Anseriformes","F","brownish gray, dark gray, dark olive, dark yellow-buff, gray, medium yellow-buff, medium-dark green, medium-dark olive, medium-dark yellow-buff, olive-gray, pale gray"
"American Woodcock","Scolopax_minor","Sandpipers and allies","Scolopacidae","Charadriiformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Amethyst Woodstar","Calliphlox_amethystina","Hummingbirds","Trochilidae","Apodiformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium-dark orange-buff, medium-dark red-brown, medium-dark rufous, medium-dark yellow-buff"
"Amethyst Woodstar","Calliphlox_amethystina","Hummingbirds","Trochilidae","Apodiformes","M","brownish gray, dark gray, dark yellow-buff, gray, medium purple, medium red-brown, medium yellow-buff, medium-dark dark purple, medium-dark olive, medium-dark red-brown, medium-dark yellow-buff"
"Amethyst-throated Sunangel","Heliangelus_amethysticollis","Hummingbirds","Trochilidae","Apodiformes","M","brownish gray, dark gray, medium cream, medium-dark green, medium-dark olive, medium-dark yellow-buff"
"Amethyst-throated Sunangel","Heliangelus_amethysticollis","Hummingbirds","Trochilidae","Apodiformes",NA,"brownish gray, medium-dark olive, medium-dark yellow-buff, pale gray"
