ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs,Beak_Length,wing_length,Tarsus.Length,Avonet_Mass,BeakL_Div_Tarsus,Mass_Diff_Pct,Dimorphism,Colors
18501,Eastern Black-tailed Tityra,Tityra braziliensis,NA,Passeriformes,NA,Tityra,braziliensis,81.5,NA,0,1200,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
18503,Masked Tityra,Tityra semifasciata,Tityra semifasciata,Passeriformes,Tityridae,Tityra,semifasciata,82.02000000000001,NA,0,1500,2500,1,NA,2,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,Forest,0,0,1,1,28,120.5,25.6,79.3,1.09375,3.316264325774217,2,1
18513,White-tailed Tityra,Tityra leucura,Tityra leucura,Passeriformes,Tityridae,Tityra,leucura,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
18514,Varzea Schiffornis,Schiffornis major,Schiffornis major,Passeriformes,Tityridae,Schiffornis,major,30.05,NA,0,300,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Forest,0,0,0,1,15.9,78.3,18.8,31,0.8457446808510638,3.064516129032256,0,-1
18517,Olivaceous Mourner,Schiffornis olivacea,Schiffornis olivacea,Passeriformes,Tityridae,Schiffornis,olivacea,30.1,NA,0,1450,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,17,92.1,22.1,29.5,0.7692307692307692,1.9933554817275794,NA,-1
18519,Northern Mourner,Schiffornis veraepacis,Schiffornis veraepacis,Passeriformes,Tityridae,Schiffornis,veraepacis,32.85,NA,0,1425,1700,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,21.2,87.3,21.1,31.1,1.004739336492891,5.32724505327245,NA,-1
18525,Foothill Mourner,Schiffornis aenea,Schiffornis aenea,Passeriformes,Tityridae,Schiffornis,aenea,30.5,NA,900,1700,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,16.9,91.5,22.7,31.7,0.7444933920704846,3.785488958990534,NA,-1
18527,Russet-winged Mourner,Schiffornis stenorhyncha,Schiffornis stenorhyncha,Passeriformes,Tityridae,Schiffornis,stenorhyncha,32.5,NA,0,1800,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,17,88.8,21.6,31.7,0.787037037037037,2.4615384615384635,NA,-1
18530,Brown-winged Mourner,Schiffornis turdina,Schiffornis turdina,Passeriformes,Tityridae,Schiffornis,turdina,32.5,NA,0,1500,1800,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,17,92.1,22.1,31.7,0.7692307692307692,2.4615384615384635,0,1
18542,Greenish Schiffornis,Schiffornis virescens,Schiffornis virescens,Passeriformes,Tityridae,Schiffornis,virescens,24.916666666666668,NA,0,1200,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Forest,0,0,0,1,13.9,80.2,21.4,25.6,0.6495327102803738,2.6692708333333344,0,1
