









Frequency of observations in the selected location(s).:
Number of taxa: 	428

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
American Wigeon	0.0138801	0.0195281	0.0127737	0.0074224	0.007619	0.0080214	0.0132027	0.035596	0.0832117	0.0755418	0.0613861	0.0438789	0.0260521	0.0195567	0.0076741	0.001219	0.0016653	8.078E-4	5.708E-4	0.0	0.0	0.0	0.0	9.234E-4	0.0	0.0	0.0	0.0	0.0	0.0012658	0.0	0.0	0.0010215	0.0	0.0	0.0035492	0.008596	0.0074468	0.0085379	0.0178439	0.0020619	0.0091429	0.0061501	0.0165505	0.0081191	0.0124481	0.0087432	0.0172117	
Mallard	0.3242902	0.3303499	0.3156934	0.3049933	0.3295238	0.2760695	0.2146508	0.3849338	0.4576642	0.4804954	0.4726073	0.5146994	0.4696059	0.4589309	0.4439197	0.440065	0.4009159	0.3457189	0.326484	0.3026455	0.266	0.2345133	0.1648461	0.1542013	0.1580247	0.2059238	0.24	0.2689394	0.3079897	0.2962025	0.2694301	0.2543171	0.2665986	0.216129	0.2041667	0.2759539	0.30468	0.2702128	0.3073639	0.3107807	0.2917526	0.336	0.3530135	0.3440767	0.3843031	0.3886584	0.3114754	0.3356282	
American Black Duck	0.0940063	0.0878763	0.0784672	0.0897436	0.0914286	0.0741979	0.0502555	0.0910596	0.1138686	0.1145511	0.1141914	0.103993	0.0668003	0.0365059	0.0360094	0.0089395	0.0087427	0.0125202	0.0085616	0.0074074	0.0	0.0011062	0.0039722	0.0036934	0.0024691	0.0042313	0.0061538	0.0066288	0.0154639	0.0025316	0.0090674	0.0054945	0.0040858	0.0021505	0.0072917	0.0150843	0.0200573	0.0255319	0.0394877	0.0609665	0.0402062	0.0617143	0.0442804	0.0688153	0.0595399	0.0705394	0.0666667	0.1032702	
Mallard x American Black Duck (hybrid)	0.0012618	8.137E-4	0.0036496	0.0033738	0.0019048	0.0046791	0.0021295	0.0024834	0.0072993	0.006192	0.0092409	0.0052655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.551E-4	0.0031915	0.0010672	0.001487	0.0	0.0034286	0.00123	0.0026132	0.0013532	0.0	0.0015	0.0045898	
Mallard/American Black Duck	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Pintail	0.0044164	0.0040683	0.0127737	0.0053981	0.0085714	0.0113636	0.0114991	0.0339404	0.0576642	0.0396285	0.0481848	0.0307152	0.008016	0.0026076	0.001771	8.127E-4	0.0	4.039E-4	0.0017123	0.0021164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0026619	0.0057307	0.0042553	0.0053362	0.0200743	0.0041237	0.0045714	0.00246	0.0060976	0.0027064	0.0069156	0.0098361	0.0137694	
Mallard x Northern Pintail (hybrid)	0.0	8.137E-4	0.0	6.748E-4	0.0	0.0	0.0	0.0	0.0	0.0	6.601E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0010929	0.0	
Green-winged Teal	0.0132492	0.009764	0.0063869	0.0121457	0.0152381	0.0160428	0.011925	0.0173841	0.0540146	0.0854489	0.0917492	0.120667	0.1062124	0.083442	0.0643447	0.0235677	0.0112406	0.003231	5.708E-4	5.291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025907	0.0047096	0.0132789	0.0247312	0.0239583	0.0328305	0.0324737	0.0340426	0.0330843	0.0483271	0.0546392	0.0377143	0.0356704	0.0287456	0.0162382	0.011065	0.0120219	0.0080321	
teal sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.192E-4	0.0	0.0	6.68E-4	0.0	0.0011806	4.063E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010215	0.0	0.0	0.0	0.0	0.0010638	0.0	7.435E-4	0.0010309	0.0011429	0.0	0.0017422	0.0	0.0	0.0010929	0.0	
dabbling duck sp.	0.0	0.0	9.124E-4	0.0	9.524E-4	6.684E-4	0.0	8.278E-4	0.0021898	0.0012384	0.0013201	0.0	0.0	6.519E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012346	0.0	0.0015385	9.47E-4	0.0025773	0.0012658	0.0	0.0015699	0.0	0.0	0.0	8.873E-4	9.551E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0017422	0.0	0.0	0.0010929	5.737E-4	
Canvasback	0.0025237	0.004882	0.0082117	0.0013495	0.0333333	0.0120321	0.0123509	0.0182119	0.0153285	0.0210526	0.0237624	0.0057043	0.002004	0.0	0.0	0.0	0.0	0.0	5.708E-4	5.291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.435E-4	0.0020619	0.0	0.0	0.0	0.0	0.0	0.0043716	0.0040161	
