"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color","Pro_Crown","Pro_Forehead","Pro_Nape","Pro_Supercilium","Pro_Lores","Pro_Auriculars","Pro_Malar","Pro_Eye","Pro_Beak","Pro_Mantle","Pro_Back","Pro_Scapulars","Pro_Rump","Pro_Collar","Pro_Chin_Throat","Pro_Breast","Pro_Belly","Pro_Flanks","Pro_Crissum","Pro_Wing_Coverts","Pro_Primaries","Pro_Secondaries","Pro_Tertials","Pro_Alula","Pro_WingBar","Pro_Wing_Other","Pro_Tail_Dorsal","Pro_Tail_Ventral","Pro_Tail_Outer","Pro_Tail_Other","Pro_Legs"
"Ruff","Philomachus_pugnax","Sandpipers and allies","Scolopacidae","Charadriiformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, very dark rufous","dark rufous, very dark rufous, brownish gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark rufous, dark gray, dark yellow-buff",NA,NA,NA,"dark rufous, medium-dark rufous, brownish gray, gray, dark gray",NA,"gray",NA,NA,"brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, brownish gray, dark rufous",NA
"Ruffed Grouse","Bonasa_umbellus","Grouse, pheasants and partridges","Phasianidae","Galliformes","F","black, brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray","brownish gray, medium-dark rufous, gray, dark gray, medium-dark orange-buff, medium-dark yellow-buff, dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, medium-dark rufous",NA,NA,NA,"medium-dark yellow-buff, brownish gray, gray, medium yellow-buff",NA,"gray, medium yellow-buff, brownish gray, pale gray",NA,NA,"black, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA
"Rufous Bristlebird","Dasyornis_broadbenti","Bristlebirds","Dasyornithidae","Passeriformes","F","brownish gray, dark rufous, gray, medium-dark rufous, medium-dark yellow-buff","dark rufous, brownish gray, medium-dark rufous",NA,NA,NA,NA,"brownish gray, medium-dark rufous, medium-dark yellow-buff",NA,NA,NA,NA,"brownish gray, gray",NA,NA,NA,"gray, brownish gray",NA,"gray, brownish gray",NA,NA,"brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark rufous",NA
"Rufous Fantail","Rhipidura_rufifrons","Fantails","Rhipiduridae","Passeriformes","M","brownish gray, dark gray, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray","brownish gray, gray","medium-dark yellow-buff, medium-dark orange-buff",NA,NA,NA,"brownish gray, dark gray",NA,NA,NA,"medium-dark rufous, medium-dark orange-buff",NA,NA,NA,NA,"dark gray","gray, pale gray","gray","medium yellow-buff, gray",NA,NA,"brownish gray",NA,NA,NA,NA,NA,"brownish gray, gray","gray, brownish gray",NA,NA,NA
"Rufous Fieldwren","Calamanthus_campestris","Thornbills and gerygones","Acanthizidae","Passeriformes","F","brownish gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","dark rufous, medium-dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark rufous, medium-dark yellow-buff, dark yellow-buff, brownish gray",NA,NA,NA,"gray, brownish gray",NA,"gray, medium yellow-buff",NA,NA,"medium-dark rufous, medium-dark yellow-buff, dark rufous, brownish gray, dark yellow-buff, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark rufous, medium-dark rufous, dark yellow-buff, medium-dark yellow-buff, gray",NA
"Rufous Hornero","Furnarius_rufus","Ovenbirds","Furnariidae","Passeriformes","M","gray, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous","medium-dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark rufous",NA,"medium-dark rufous",NA,"gray, medium orange-buff","medium-dark orange-buff, medium yellow-buff","gray, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rufous Hummingbird","Selasphorus_rufus","Hummingbirds","Trochilidae","Apodiformes","F","brownish gray, gray, medium green, medium yellow-buff, medium-dark green, medium-dark yellow-buff","brownish gray, medium-dark yellow-buff",NA,"gray, medium-dark yellow-buff, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,"medium yellow-buff, medium green",NA,"medium-dark yellow-buff, medium yellow-buff, medium-dark green",NA,"gray, medium yellow-buff","brownish gray, medium yellow-buff, gray","gray, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA,NA,NA,"medium yellow-buff, medium green, medium-dark yellow-buff",NA
"Rufous Hummingbird","Selasphorus_rufus","Hummingbirds","Trochilidae","Apodiformes","M","brownish gray, gray, medium red-brown, medium tan, medium yellow-buff, medium-dark brown, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","brownish gray, gray, medium-dark rufous, medium-dark yellow-buff",NA,"medium-dark orange-buff, brownish gray",NA,NA,NA,NA,NA,NA,NA,"medium-dark orange-buff, brownish gray, medium yellow-buff",NA,"medium-dark orange-buff, medium-dark rufous",NA,"medium tan, medium-dark brown, medium red-brown","gray, medium yellow-buff","medium yellow-buff, medium-dark yellow-buff, gray, brownish gray, medium-dark orange-buff",NA,NA,NA,NA,NA,NA,NA,NA,"gray, brownish gray, medium-dark yellow-buff",NA,NA,NA,"medium-dark rufous, gray, brownish gray",NA
"Rufous Motmot","Baryphthengus_martii","Motmots","Momotidae","Coraciiformes","F","black, blue, dark gray, dark olive, dark rufous, light blue, medium-dark green, medium-dark olive, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","dark rufous",NA,"dark rufous, medium-dark rufous",NA,NA,"black, dark gray",NA,NA,NA,NA,"medium-dark yellow-buff",NA,"medium-dark green, medium-dark olive, medium-dark yellow-buff",NA,"medium-dark rufous","medium-dark rufous, dark rufous, medium-dark orange-buff","medium-dark rufous",NA,NA,"medium-dark yellow-buff, medium-dark olive",NA,NA,NA,NA,NA,"blue, light blue",NA,NA,NA,"blue, dark olive, medium-dark yellow-buff","medium-dark yellow-buff, medium-dark green"
"Rufous Motmot","Baryphthengus_martii","Motmots","Momotidae","Coraciiformes","M","black, blue, brownish gray, dark blue, dark gray, dark olive, dark rufous, dark yellow-buff, gray, light blue, medium-dark green, medium-dark olive, medium-dark rufous, medium-dark yellow-buff, olive-gray, very dark rufous","dark rufous, very dark rufous, black, brownish gray",NA,"medium-dark rufous, dark rufous",NA,NA,"dark gray, black",NA,NA,NA,NA,"medium-dark yellow-buff, dark yellow-buff",NA,"medium-dark yellow-buff, medium-dark green",NA,"medium-dark rufous, medium-dark yellow-buff, dark rufous","medium-dark rufous","medium-dark rufous, dark rufous, medium-dark yellow-buff, brownish gray",NA,NA,"medium-dark yellow-buff, medium-dark olive",NA,NA,NA,NA,NA,"light blue",NA,NA,NA,"medium-dark olive, blue, dark yellow-buff, olive-gray, dark olive, gray, dark blue","medium-dark yellow-buff"
"Rufous Songlark","Cincloramphus_mathewsi","Old World warblers","Sylviidae","Passeriformes","F","brownish gray, dark yellow-buff, gray, medium-dark yellow-buff","brownish gray, dark yellow-buff, medium-dark yellow-buff, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark yellow-buff, brownish gray, gray, medium-dark yellow-buff",NA,NA,NA,"gray, brownish gray",NA,"gray",NA,NA,"brownish gray, medium-dark yellow-buff, dark yellow-buff, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA
"Rufous Treecreeper","Climacteris_rufus","Australian treecreepers","Climacteridae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","brownish gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark rufous",NA,NA,NA,"medium-dark yellow-buff, medium-dark rufous, brownish gray, dark yellow-buff, dark rufous",NA,"medium-dark rufous, medium-dark yellow-buff, dark rufous, brownish gray, medium-dark orange-buff",NA,NA,"brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA
"Rufous Whistler","Pachycephala_rufiventris","Whistlers","Pachycephalidae","Passeriformes","F","brownish gray, dark gray, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray",NA,NA,NA,"gray, brownish gray",NA,"medium-dark yellow-buff, medium yellow-buff, medium-dark rufous, gray",NA,NA,"gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, dark gray",NA
"Rufous-backed Fantail","Rhipidura_rufidorsa","Fantails","Rhipiduridae","Passeriformes","M","brownish gray, dark rufous, gray, medium cream, medium yellow-buff, medium-dark rufous, pale gray","brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,"dark rufous, medium-dark rufous",NA,NA,NA,NA,"gray","gray","gray, medium cream, medium yellow-buff","gray",NA,NA,"brownish gray",NA,NA,NA,NA,NA,"brownish gray","brownish gray",NA,NA,NA
"Rufous-backed Honeyeater","Ptiloprora_guisei","Honeyeaters","Meliphagidae","Passeriformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray","black, dark gray, gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"black, brownish gray, dark yellow-buff, dark rufous",NA,NA,NA,"gray, dark gray",NA,"brownish gray, gray, dark gray",NA,NA,"brownish gray, gray, dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark gray, gray",NA
"Rufous-backed Inca-finch","Incaspiza_personata","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","black, brownish gray, dark gray, gray","brownish gray, dark gray, gray",NA,NA,NA,"dark gray, black",NA,NA,NA,NA,NA,"brownish gray",NA,"brownish gray, dark gray",NA,"brownish gray, gray","brownish gray, gray","gray, brownish gray",NA,"brownish gray, gray",NA,NA,NA,NA,NA,NA,"brownish gray, gray, dark gray","brownish gray, dark gray",NA,"gray",NA,NA
"Rufous-backed Robin","Turdus_rufopalliatus","Thrushes","Turdidae","Passeriformes","F","brownish gray, gray, medium cream, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale cream","brownish gray, gray",NA,"gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,"medium-dark rufous, medium-dark orange-buff, medium-dark yellow-buff, brownish gray",NA,"gray, brownish gray",NA,NA,"medium yellow-buff, medium-dark yellow-buff, gray","medium cream, pale cream, gray, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff, brownish gray, gray",NA,NA,NA,"gray",NA
"Rufous-backed Robin","Turdus_rufopalliatus","Thrushes","Turdidae","Passeriformes","M","brownish gray, gray, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark yellow-buff, pale cream","gray, brownish gray",NA,"gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,"brownish gray, medium-dark yellow-buff",NA,"gray",NA,NA,"gray, medium yellow-buff","medium orange-buff, pale cream, medium-dark orange-buff, medium yellow-buff, gray",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark orange-buff, brownish gray, gray",NA,NA,NA,"gray",NA
"Rufous-banded Honeyeater","Conopophila_albogularis","Honeyeaters","Meliphagidae","Passeriformes","F","brownish gray, dark gray, gray, pale gray","dark gray, brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"gray",NA,"gray, pale gray",NA,NA,"brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA
"Rufous-bellied Antwren","Myrmotherula_guttata","Antbirds","Thamnophilidae","Passeriformes","F","brownish gray, dark gray, dark rufous, gray, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray","gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, pale gray, medium-dark rufous",NA,NA,NA,NA,"medium-dark yellow-buff, medium orange-buff, medium yellow-buff","medium orange-buff, medium-dark orange-buff, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff, brownish gray, medium yellow-buff, medium-dark rufous, medium orange-buff, dark rufous, dark gray",NA,NA,NA,"brownish gray, dark gray, dark rufous, gray",NA
"Rufous-bellied Antwren","Myrmotherula_guttata","Antbirds","Thamnophilidae","Passeriformes","M","brownish gray, dark gray, gray, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray","gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, pale gray",NA,NA,NA,NA,"gray","medium-dark orange-buff, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff, dark gray, medium orange-buff, gray",NA,NA,NA,"brownish gray, dark gray, medium-dark rufous",NA
"Rufous-bellied Kookaburra","Dacelo_gaudichaud","Kingfishers","Alcedinidae","Coraciiformes","M","blue, dark gray, dark rufous, gray, light blue, medium yellow-buff, medium-dark rufous","dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium yellow-buff, dark gray",NA,"light blue",NA,"gray","dark rufous","medium-dark rufous, dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,"blue, light blue",NA,NA,NA,NA,NA
"Rufous-bellied Saltator","Saltator_rufiventris","Grosbeaks, saltators and allies","Cardinalidae","Passeriformes","M","brownish gray, dark gray, dark rufous, gray, medium-dark rufous, medium-dark yellow-buff","gray, dark gray",NA,NA,"gray",NA,NA,NA,NA,NA,NA,"gray, dark gray",NA,"gray, dark gray",NA,"gray, brownish gray","gray","dark rufous, medium-dark rufous",NA,"dark rufous, medium-dark rufous, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,"gray, dark gray","dark gray, gray",NA,NA,NA,NA
"Rufous-bellied Seedsnipe","Attagis_gayi","Seedsnipes","Thinocoridae","Charadriiformes","F","brownish gray, dark gray, dark rufous, gray, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","brownish gray, medium-dark yellow-buff, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark gray, medium-dark yellow-buff, gray",NA,NA,NA,"medium-dark yellow-buff, brownish gray, gray, medium yellow-buff",NA,"medium-dark rufous, medium-dark orange-buff, medium yellow-buff, brownish gray, medium-dark yellow-buff, dark rufous, medium orange-buff",NA,NA,"brownish gray, medium-dark yellow-buff, medium-dark orange-buff, gray, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, medium-dark rufous, gray",NA
"Rufous-breasted Hermit","Glaucis_hirsutus","Hummingbirds","Trochilidae","Apodiformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray, very dark olive","olive-gray, gray, very dark olive, brownish gray",NA,"brownish gray, gray","black, dark rufous, brownish gray","olive-gray, dark gray","medium-dark yellow-buff, brownish gray","medium-dark rufous, dark yellow-buff",NA,NA,NA,"brownish gray","brownish gray, black","black, brownish gray",NA,"gray, brownish gray","medium-dark rufous, brownish gray, medium-dark yellow-buff","medium-dark yellow-buff, medium yellow-buff","brownish gray, medium-dark yellow-buff","gray, medium yellow-buff","black, brownish gray",NA,"olive-gray, black",NA,NA,NA,NA,NA,NA,NA,"black, dark gray",NA
"Rufous-breasted Hermit","Glaucis_hirsutus","Hummingbirds","Trochilidae","Apodiformes","M","black, brownish gray, dark gray, dark olive, dark yellow-buff, gray, medium green, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray","brownish gray, dark olive, dark gray",NA,"medium-dark yellow-buff, dark gray, dark yellow-buff","gray, dark gray, olive-gray","black, gray","brownish gray, dark gray","brownish gray, medium-dark yellow-buff",NA,NA,NA,"medium-dark yellow-buff, dark yellow-buff","brownish gray, medium-dark yellow-buff","medium-dark yellow-buff, gray",NA,"medium-dark yellow-buff, gray, black","brownish gray, medium-dark yellow-buff, gray","gray, medium-dark yellow-buff","medium yellow-buff","medium yellow-buff","gray, brownish gray",NA,"gray, dark gray, black",NA,"dark gray",NA,NA,NA,NA,"gray, brownish gray","gray, black",NA
"Rufous-breasted Piculet","Picumnus_rufiventris","Woodpeckers","Picidae","Piciformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff","black, gray, dark gray",NA,"black, dark gray",NA,NA,"dark rufous",NA,NA,NA,NA,"dark yellow-buff",NA,"dark yellow-buff",NA,"dark rufous","dark rufous","dark rufous",NA,NA,"dark yellow-buff",NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"black, medium yellow-buff, gray, medium-dark yellow-buff",NA
"Rufous-breasted Piculet","Picumnus_rufiventris","Woodpeckers","Picidae","Piciformes","M","black, brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous","dark gray, black, gray",NA,"dark brown",NA,NA,"dark rufous",NA,NA,NA,NA,"dark yellow-buff",NA,"dark yellow-buff",NA,"medium-dark rufous, dark rufous","dark rufous","dark rufous",NA,NA,"dark yellow-buff",NA,NA,NA,NA,NA,"brownish gray, dark gray",NA,NA,NA,"gray, dark gray, black",NA
"Rufous-breasted Warbling-finch","Poospiza_rubecula","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, dark rufous","dark rufous",NA,NA,NA,NA,"dark gray",NA,NA,NA,NA,"dark gray, brownish gray",NA,"dark gray",NA,"dark rufous","dark rufous","dark rufous",NA,"dark rufous",NA,NA,NA,NA,NA,NA,"brownish gray","dark gray, brownish gray",NA,NA,NA,NA
"Rufous-browed Conebill","Conirostrum_rufum","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, dark rufous, gray, medium-dark rufous, medium-dark yellow-buff","dark gray, gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, brownish gray, dark gray",NA,"gray, dark rufous",NA,"dark rufous","dark rufous","medium-dark rufous, medium-dark yellow-buff, dark rufous",NA,"dark rufous, medium-dark rufous, medium-dark yellow-buff, brownish gray",NA,NA,NA,NA,NA,NA,"brownish gray, dark gray, gray","dark gray, brownish gray, gray",NA,NA,NA,NA
"Rufous-browed Hemispingus","Hemispingus_rufosuperciliaris","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff","dark gray",NA,NA,"medium-dark rufous, medium-dark yellow-buff, dark rufous",NA,NA,NA,NA,NA,NA,"dark gray, medium-dark rufous",NA,"dark gray, medium-dark yellow-buff, medium-dark rufous, dark rufous",NA,"dark rufous, medium-dark yellow-buff, medium-dark rufous, dark yellow-buff","dark rufous, medium-dark rufous","brownish gray, dark yellow-buff, dark rufous",NA,"dark gray, brownish gray, gray",NA,NA,NA,NA,NA,NA,"dark gray","dark gray",NA,NA,NA,NA
"Rufous-browed Peppershrike","Cyclarhis_gujanensis","Vireos and allies","Vireonidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, pale cream, pale gray","dark rufous, brownish gray, medium-dark rufous, gray",NA,"medium yellow-buff, pale cream",NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff",NA,NA,NA,NA,"gray, pale gray","gray, pale gray",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark gray",NA,NA,NA,"dark yellow-buff, medium-dark yellow-buff",NA
"Rufous-browed Peppershrike","Cyclarhis_gujanensis","Vireos and allies","Vireonidae","Passeriformes","M","brownish gray, dark gray, dark rufous, gray, medium cream, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, pale gray","dark rufous, gray, medium-dark rufous",NA,"medium yellow-buff, medium-dark yellow-buff, medium cream",NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff",NA,NA,NA,NA,"gray","pale gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark gray",NA,NA,NA,"medium-dark yellow-buff",NA
"Rufous-browed Peppershrike","Cyclarhis_gujanensis","Vireos and allies","Vireonidae","Passeriformes",NA,"brownish gray, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","medium-dark rufous, gray",NA,"medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff",NA,NA,NA,NA,"gray","gray",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"medium-dark yellow-buff",NA
"Rufous-capped Antthrush","Formicarius_colma","Antthrushes and antpittas","Formicariidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark orange-buff, medium-dark yellow-buff","dark gray, gray",NA,"brownish gray, dark rufous",NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark yellow-buff",NA,NA,NA,"gray","gray, dark gray","gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff, brownish gray, medium-dark orange-buff",NA,NA,NA,"dark gray",NA
"Rufous-capped Antthrush","Formicarius_colma","Antthrushes and antpittas","Formicariidae","Passeriformes","M","black, brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff","dark gray, black, gray",NA,"dark rufous, medium-dark rufous, dark brown",NA,NA,NA,NA,NA,NA,NA,"dark yellow-buff, brownish gray",NA,NA,NA,"dark gray","dark gray, gray","brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff, brownish gray, medium-dark rufous, dark gray",NA,NA,NA,"dark gray, brownish gray",NA
"Rufous-capped Brush-finch","Atlapetes_pileatus","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff","dark rufous, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, brownish gray, dark yellow-buff",NA,NA,NA,"medium-dark yellow-buff, medium yellow-buff",NA,"medium yellow-buff, medium-dark yellow-buff",NA,NA,"gray, brownish gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, brownish gray, dark gray",NA
"Rufous-capped Thornbill","Chalcostigma_ruficeps","Hummingbirds","Trochilidae","Apodiformes","M","black, brownish gray, medium-dark olive, medium-dark yellow-buff","black",NA,NA,NA,NA,"medium-dark yellow-buff",NA,NA,NA,NA,"medium-dark olive",NA,NA,NA,"medium-dark yellow-buff","medium-dark yellow-buff","medium-dark yellow-buff",NA,"brownish gray",NA,NA,"brownish gray",NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff","medium-dark yellow-buff",NA
"Rufous-capped Warbler","Basileuterus_rufifrons","New World warblers","Parulidae","Passeriformes","F","brownish gray, dark rufous, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, very dark rufous, very dark yellow-buff","very dark rufous, dark rufous, medium-dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark yellow-buff, very dark yellow-buff, medium-dark yellow-buff, gray, brownish gray",NA,NA,NA,"medium-dark yellow-buff, medium yellow-buff",NA,"medium-dark yellow-buff, medium yellow-buff, gray, medium cream",NA,NA,"gray, very dark yellow-buff, dark yellow-buff, medium-dark yellow-buff, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, dark yellow-buff, brownish gray, medium-dark yellow-buff",NA
"Rufous-cheeked Tanager","Tangara_rufigenis","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, dark olive, dark rufous, dark yellow-buff, gray, medium green, medium-dark green, medium-dark olive, medium-dark yellow-buff","gray, dark yellow-buff, dark olive, medium-dark olive",NA,NA,NA,NA,"dark yellow-buff, brownish gray",NA,NA,NA,NA,"medium-dark yellow-buff, dark yellow-buff, medium-dark olive",NA,"medium-dark green, medium green",NA,"medium-dark olive, medium-dark yellow-buff","medium-dark yellow-buff, medium-dark green, medium green","medium-dark yellow-buff",NA,"medium-dark yellow-buff","medium-dark green","dark rufous, brownish gray, dark yellow-buff",NA,NA,NA,NA,"medium-dark olive, brownish gray","gray, brownish gray, dark gray",NA,NA,NA,NA
"Rufous-chested Tanager","Thlypopsis_ornata","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","dark rufous, medium-dark rufous, dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, brownish gray",NA,"gray, brownish gray",NA,"medium-dark yellow-buff, medium yellow-buff","medium-dark yellow-buff, medium-dark rufous","gray",NA,"medium-dark yellow-buff, medium yellow-buff, medium-dark rufous, dark rufous, dark yellow-buff",NA,NA,NA,NA,NA,NA,"brownish gray, gray","brownish gray, gray",NA,NA,NA,NA
"Rufous-collared Sparrow","Zonotrichia_capensis","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, dark gray, gray, medium-dark orange-buff, medium-dark yellow-buff","dark gray, brownish gray",NA,"medium-dark orange-buff",NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff",NA,NA,NA,"gray","gray","gray",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"brownish gray",NA
"Rufous-collared Sparrow","Zonotrichia_capensis","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, gray, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","gray, brownish gray, dark gray",NA,"medium-dark rufous, medium-dark orange-buff",NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"gray","gray","gray",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff",NA,NA,NA,"brownish gray",NA
"Rufous-collared Sparrow","Zonotrichia_capensis","Buntings, American sparrows and allies","Emberizidae","Passeriformes",NA,"brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray","brownish gray, gray, dark gray",NA,"medium-dark rufous",NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark gray, medium-dark yellow-buff, dark yellow-buff, gray, dark rufous, medium-dark rufous",NA,NA,NA,"gray, brownish gray, pale gray","gray, brownish gray","gray, brownish gray",NA,NA,"gray, brownish gray, dark gray",NA,NA,NA,NA,NA,"medium-dark orange-buff",NA,NA,NA,"brownish gray, dark gray",NA
"Rufous-crested Tanager","Creurgops_verticalis","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff","dark gray, gray, medium-dark rufous, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray",NA,"dark gray, medium-dark yellow-buff, gray, medium-dark rufous, brownish gray",NA,"medium-dark yellow-buff, dark rufous, brownish gray, medium-dark rufous","medium-dark rufous, medium-dark yellow-buff","medium-dark rufous, medium-dark yellow-buff, gray",NA,"dark rufous, medium-dark rufous, dark yellow-buff, medium-dark yellow-buff, gray, brownish gray",NA,NA,NA,NA,NA,NA,"dark gray, gray, brownish gray","dark gray, gray",NA,NA,NA,NA
