"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color","Pro_Crown","Pro_Forehead","Pro_Nape","Pro_Supercilium","Pro_Lores","Pro_Auriculars","Pro_Malar","Pro_Eye","Pro_Beak","Pro_Mantle","Pro_Back","Pro_Scapulars","Pro_Rump","Pro_Collar","Pro_Chin_Throat","Pro_Breast","Pro_Belly","Pro_Flanks","Pro_Crissum","Pro_Wing_Coverts","Pro_Primaries","Pro_Secondaries","Pro_Tertials","Pro_Alula","Pro_WingBar","Pro_Wing_Other","Pro_Tail_Dorsal","Pro_Tail_Ventral","Pro_Tail_Outer","Pro_Tail_Other","Pro_Legs"
"Lucy's Warbler","Vermivora_luciae","New World warblers","Parulidae","Passeriformes","F","brownish gray, dark gray, dark rufous, gray, medium cream, medium yellow-buff, pale cream","brownish gray, dark rufous, gray",NA,"gray","gray","gray, brownish gray","medium yellow-buff, gray","gray, medium yellow-buff",NA,NA,NA,"gray","brownish gray, gray","gray",NA,"gray, medium cream","medium cream, medium yellow-buff, pale cream, gray","gray, medium cream","gray, medium yellow-buff","pale cream","gray, brownish gray, dark gray",NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"brownish gray, gray, dark gray",NA
"Lucy's Warbler","Vermivora_luciae","New World warblers","Parulidae","Passeriformes","M","brownish gray, dark rufous, gray, medium cream, medium yellow-buff, pale cream, very dark rufous","gray, brownish gray, very dark rufous",NA,"gray","gray","gray","medium cream, gray","medium yellow-buff",NA,NA,NA,"gray","brownish gray, gray","gray",NA,"medium cream, gray, medium yellow-buff","medium yellow-buff, gray, pale cream, medium cream","medium cream, gray","medium yellow-buff, gray","pale cream, gray","gray",NA,NA,NA,NA,NA,"brownish gray, gray",NA,NA,NA,"brownish gray",NA
"MacConnell's Flycatcher","Mionectes_macconnelli","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff","dark yellow-buff, gray, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, medium-dark yellow-buff, dark yellow-buff",NA,NA,NA,NA,"medium-dark yellow-buff, medium yellow-buff","medium cream, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark gray",NA,NA,NA,"brownish gray",NA
"MacConnell's Flycatcher","Mionectes_macconnelli","Tyrant-flycatchers","Tyrannidae","Passeriformes","M","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, very dark yellow-buff","dark yellow-buff, brownish gray, gray, black, very dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, dark yellow-buff, very dark yellow-buff, medium-dark yellow-buff",NA,NA,NA,"gray, dark gray, brownish gray, medium-dark yellow-buff, dark yellow-buff, very dark yellow-buff","medium-dark yellow-buff","medium-dark yellow-buff, dark yellow-buff, gray, medium cream, medium yellow-buff",NA,NA,"brownish gray, dark yellow-buff, gray, very dark yellow-buff",NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"brownish gray, medium-dark yellow-buff, gray, dark rufous, dark yellow-buff",NA
"MacConnell's Spinetail","Synallaxis_macconnelli","Ovenbirds","Furnariidae","Passeriformes","F","brownish gray, dark brown, dark gray, dark rufous, gray, medium-dark rufous","dark brown, dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"gray, dark gray","brownish gray, gray","brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,"dark rufous, brownish gray, medium-dark rufous, dark gray",NA,NA,NA,"brownish gray",NA
"MacConnell's Spinetail","Synallaxis_macconnelli","Ovenbirds","Furnariidae","Passeriformes","M","brownish gray, dark brown, dark gray, dark rufous, gray, medium-dark rufous","dark brown, dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"dark gray, gray","brownish gray, gray","gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,"dark rufous, medium-dark rufous, brownish gray, dark brown",NA,NA,NA,"brownish gray",NA
"MacGillivray's Warbler","Oporornis_tolmiei","New World warblers","Parulidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream, very dark yellow-buff","gray, dark gray, brownish gray",NA,"gray","gray","gray","gray","gray",NA,NA,NA,"gray, dark yellow-buff, medium-dark yellow-buff","gray","dark yellow-buff, gray",NA,"dark gray, gray","gray, medium yellow-buff, medium-dark yellow-buff","medium yellow-buff, medium-dark yellow-buff, medium cream","medium-dark yellow-buff","pale cream","gray, brownish gray, dark yellow-buff, medium-dark yellow-buff",NA,NA,NA,NA,NA,"very dark yellow-buff, brownish gray, dark yellow-buff",NA,NA,NA,"gray, dark yellow-buff, medium-dark yellow-buff, brownish gray",NA
"MacGillivray's Warbler","Oporornis_tolmiei","New World warblers","Parulidae","Passeriformes","M","black, brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff","black, gray, dark gray",NA,"dark gray, gray","gray","dark gray, gray","gray","gray",NA,NA,NA,"gray, dark yellow-buff","medium-dark yellow-buff","medium-dark yellow-buff, dark yellow-buff",NA,"gray","gray, medium yellow-buff, medium-dark yellow-buff, medium cream","medium cream, medium yellow-buff","medium-dark yellow-buff","medium cream, medium yellow-buff","gray, medium-dark yellow-buff",NA,NA,NA,NA,NA,"brownish gray, medium-dark yellow-buff",NA,NA,NA,"dark yellow-buff",NA
"Macaroni Penguin","Eudyptes_chrysolophus","Penguins","Spheniscidae","Sphenisciformes","M","brownish gray, dark gray, gray, medium yellow-buff, pale cream","gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray",NA,"gray, brownish gray",NA,"brownish gray","pale cream","pale cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maccoa Duck","Oxyura_maccoa","Ducks, geese and swans","Anatidae","Anseriformes","F","black, brownish gray, dark brown, dark gray, dark rufous, gray, medium-dark rufous, medium-dark yellow-buff, pale gray","brownish gray, dark gray, black",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark rufous, dark brown, gray, dark gray",NA,NA,NA,"gray, brownish gray, dark gray, pale gray",NA,"brownish gray, gray, dark rufous, medium-dark yellow-buff",NA,NA,"brownish gray, medium-dark rufous, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark gray, gray",NA
"Macgregor's Bowerbird","Amblyornis_macgregoriae","Bowerbirds","Ptilonorhynchidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, very dark yellow-buff","medium-dark yellow-buff, medium yellow-buff, medium orange-buff, medium-dark orange-buff, medium-dark rufous, dark rufous, dark yellow-buff, very dark yellow-buff, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark yellow-buff, gray, very dark yellow-buff",NA,NA,NA,"dark yellow-buff, brownish gray, medium-dark yellow-buff, gray",NA,"medium-dark yellow-buff",NA,NA,"dark yellow-buff, brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, dark gray",NA
"Mackinlay's Cuckoo-dove","Macropygia_mackinlayi","Doves and pigeons","Columbidae","Columbiformes","M","brownish gray, dark rufous, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","medium-dark orange-buff, medium-dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark rufous, dark rufous, brownish gray",NA,NA,NA,NA,"medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, medium-dark orange-buff","medium-dark orange-buff, medium-dark rufous",NA,NA,NA,"dark rufous","brownish gray",NA,NA,NA,NA,"brownish gray","brownish gray",NA,NA,NA,NA
"Macleay's Honeyeater","Xanthotis_macleayanus","Honeyeaters","Meliphagidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff, very dark yellow-buff","gray, dark gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, medium-dark yellow-buff, dark yellow-buff, brownish gray",NA,NA,NA,"gray, medium-dark yellow-buff",NA,"medium-dark yellow-buff, medium yellow-buff, dark yellow-buff, brownish gray, gray, very dark yellow-buff",NA,NA,"gray, dark yellow-buff, brownish gray, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, medium-dark yellow-buff",NA
"Madagascar Bee-eater","Merops_superciliosus","Bee-eaters","Meropidae","Coraciiformes","M","medium green, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, pale cream","medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff",NA,"medium green",NA,"medium yellow-buff, medium-dark rufous, pale cream","medium yellow-buff","medium yellow-buff, medium green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar Black Bulbul","Hypsipetes_madagascariensis","Bulbuls","Pycnonotidae","Passeriformes","M","dark gray, gray","dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray",NA,"gray",NA,"gray","gray","gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar Coucal","Centropus_toulou","Cuckoos","Cuculidae","Cuculiformes","M","brownish gray, dark gray, dark rufous, gray, medium-dark rufous, olive-gray","dark gray",NA,NA,NA,NA,NA,NA,NA,NA,"dark gray",NA,NA,NA,NA,NA,NA,"dark gray, gray",NA,NA,NA,"medium-dark rufous, dark rufous",NA,NA,NA,NA,"brownish gray, dark rufous","dark gray, olive-gray","dark gray",NA,NA,NA
